Date,C,I,G,X,M,Y,Hrs_worked,Labor_prod,Tcomp_hour,K1,K2,K3,H
4/1/1992,559940,152017,323206,261405,222775,1074900,73.959,76.113,55.57,8009742.047,5618505.087,3188458.18,5834.235995
7/1/1992,562909,155575,322855,265392,226466,1080679,73.63,76.895,55.84,8041612.916,5633617.46,3184610.271,5808.282918
10/1/1992,564967,143312,326375,272653,221727,1086820,73.679,77.304,56.181,8076563.723,5636089.023,3168691.757,5812.14827
1/1/1993,567964,147343,324825,282591,231803,1093786,74.327,77.196,56.324,8098727.267,5642529.798,3157600.169,5863.265577
4/1/1993,570045,154131,326322,290682,239086,1103731,74.614,77.839,56.148,8124589.358,5655597.553,3153851.161,5885.905496
7/1/1993,573789,164677,322988,292906,240438,1114259,74.73,78.745,56.317,8156851.517,5678884.614,3160835.603,5895.056125
10/1/1993,575233,166492,322351,301458,246729,1119063,75.512,78.435,56.056,8199175.745,5703404.499,3169285.823,5956.743986
1/1/1994,584633,170372,318824,303417,246621,1135544,75.699,79.844,56.416,8242680.108,5731191.386,3181193.531,5971.495432
4/1/1994,585538,176277,322542,325008,257954,1152141,76.705,80.304,56.879,8289411.907,5764188.601,3198410.855,6050.853473
7/1/1994,588116,174130,323990,337781,260280,1166905,78.065,80.176,56.7,8341347.728,5794213.886,3212620.312,6158.136711
10/1/1994,594963,176414,323275,351224,272644,1175398,79.219,79.796,56.445,8390357.512,5825772.539,3228403.296,6249.169693
1/1/1995,594728,179116,321418,360952,272668,1186301,78.736,81.224,57.203,8440916.15,5859244.226,3246099.132,6211.068367
4/1/1995,599254,185240,320379,353144,274871,1186757,78.78,81.101,57.512,8493418.407,5898003.12,3269034.175,6214.539295
7/1/1995,605767,180803,318487,353414,273474,1188367,79.305,80.583,57.934,8551257.131,5931356.042,3286385.466,6255.95378
10/1/1995,605981,175572,316339,366785,276434,1193203,79.646,80.731,58.132,8603791.274,5958644.141,3297638.193,6282.853474
1/1/1996,614223,176251,316057,366977,282376,1193982,80.451,80.106,58.31,8650306.405,5985929.038,3309007.283,6346.355685
4/1/1996,615432,168613,315077,381156,282050,1202309,80.769,80.305,58.458,8696802.809,6004893.812,3312169.919,6371.44103
7/1/1996,618022,185690,310854,389357,292737,1212835,81.845,80.224,58.701,8734963.767,6040461.466,3332251.423,6456.321003
10/1/1996,629326,203826,309506,378928,299097,1222476,82.099,80.7,59.691,8789629.31,6093275.93,3369464.852,6476.357725
1/1/1997,640222,205319,310220,400127,317269,1238578,82.335,81.726,60.385,8861610.871,6146263.031,3406310.609,6494.974522
4/1/1997,645791,217247,307952,405228,324377,1252555,83.02,82.293,61.24,8934005.708,6209853.456,3453242.079,6549.010565
7/1/1997,654207,226941,308927,416902,337843,1267511,84.207,82.286,61.765,9017242.622,6281548.119,3507520.975,6642.646743
10/1/1997,658694,230151,308937,424428,342864,1279731,85.165,82.493,61.608,9108924.983,6354660.416,3562295.926,6718.218318
1/1/1998,659093,232059,316541,438235,347273,1297725,84.429,84.58,63.228,9202442.108,6427852.906,3616240.13,6660.159154
4/1/1998,667100,224244,313640,443147,349173,1298400,85.342,83.798,63.562,9296464.476,6491400.583,3659672.123,6732.180915
7/1/1998,670932,213887,314504,452110,340987,1310474,86.002,84.116,63.849,9381261.509,6543002.569,3690575.517,6784.24484
10/1/1998,672978,224618,314199,469905,354965,1328181,86.776,84.716,64.425,9454429.587,6604045.504,3730664.741,6845.301623
1/1/1999,682871,221857,319558,487092,361818,1352193,86.327,86.942,64.954,9537231.143,6660801.367,3765988.504,6809.882378
4/1/1999,689806,230396,323136,487836,368469,1363552,87.943,86.116,64.83,9616029.676,6724677.333,3808085.079,6937.360107
7/1/1999,698355,230242,328193,504869,377627,1384758,87.99,87.693,65.965,9702185.231,6786802.399,3847922.825,6941.067689
10/1/1999,705048,248301,329393,518755,396729,1404441,89.396,87.705,66.172,9786894.452,6865433.339,3903827.684,7051.979625
1/1/2000,712538,251214,332583,536527,405415,1426802,89.407,89.536,67.764,9888392.035,6945011.506,3959850.3,7052.847357
4/1/2000,718687,252445,335382,544590,407661,1443772,89.493,90.619,69.643,9991280.155,7023831.218,4014302.785,7059.631444
7/1/2000,727938,255729,337426,548758,411593,1458385,89.612,91.497,70.535,10093855.95,7103964.438,4069316.646,7069.018727
10/1/2000,729710,251176,339841,549468,407804,1461075,90.309,90.828,70.789,10198177.11,7177541.327,4117026.813,7124.001386
1/1/2001,735481,243146,346144,539245,396711,1468665,90.552,90.979,70.86,10296380.46,7241248.794,4154321.473,7143.170376
4/1/2001,736925,247873,350554,531878,394094,1472655,89.737,91.957,72.032,10385080.75,7308090.574,4194478.399,7078.879319
7/1/2001,738954,244255,352653,520860,385253,1471630,88.927,92.626,72.975,10477177.54,7369643.309,4229009.479,7014.982685
10/1/2001,748136,224732,355305,522660,375822,1480672,88.378,93.768,73.69,10564274.88,7410134.227,4242291.005,6971.674966
1/1/2002,759531,224424,356612,531704,378002,1502659,89.447,94.215,73.254,10630542.75,7449304.871,4254600.455,7056.002746
4/1/2002,769222,246394,358032,530448,396118,1511271,90.32,93.74,73.314,10695508.61,7509466.249,4288264.432,7124.869118
7/1/2002,770920,250354,361253,542705,403469,1524569,90.818,94.102,73.662,10781469.98,7572083.593,4324205.21,7164.153715
10/1/2002,778683,256174,363280,534953,402548,1532925,91.519,93.791,74.156,10870101.93,7638955.503,4364168.95,7219.451914
1/1/2003,782127,267573,367378,526276,406165,1541321,92.191,93.545,74.102,10963224.4,7715554.616,4413533.502,7272.462454
4/1/2003,788518,269422,369627,515848,406900,1539061,91.031,94.422,75.297,11066349.04,7792087.75,4462278.827,7180.956164
7/1/2003,795376,262106,371009,522060,407307,1544910,91.234,94.652,75.504,11169775.8,7859391.556,4501270.886,7196.969765
10/1/2003,796254,273238,374263,538666,426568,1555472,93.079,93.385,75.139,11264335.16,7936144.768,4549445.342,7342.512098
1/1/2004,806272,274483,377636,538041,430282,1566701,93.855,93.378,76.065,11368608.14,8012224.148,4596456.075,7403.726651
4/1/2004,809802,276955,377506,563550,442082,1585248,94.364,94.108,77.126,11472562.01,8088873.545,4643588.271,7443.87898
7/1/2004,817487,301170,380647,561631,454546,1604066,94.398,95.25,78.167,11577428.58,8187821.706,4712578.857,7446.561061
10/1/2004,824326,314253,383505,555954,459586,1615567,94.759,95.701,78.552,11704937.16,8297379.163,4791202.914,7475.03845
1/1/2005,836047,319266,384099,561462,475136,1621103,94.859,95.853,79.426,11843616.1,8409210.684,4870908.769,7482.926923
4/1/2005,843392,317137,386651,559106,471642,1632688,95.33,96.077,80.31,11985227.86,8516117.417,4944500.33,7520.081632
7/1/2005,849200,328387,389506,567378,479662,1652747,95.173,97.512,81.913,12122586.44,8631601.482,5025662.314,7507.696729
10/1/2005,857352,331882,394313,580505,490661,1669120,95.475,98.166,83.052,12269134.64,8747693.445,5106261.198,7531.519919
1/1/2006,869294,345833,395746,572645,495176,1682562,95.927,98.491,83.678,12416979.62,8874834.109,5196781.138,7567.175818
4/1/2006,877030,349436,399857,570686,508435,1683463,96.565,97.68,84.374,12576557.93,9002399.256,5286378.081,7617.504278
