Date,Y_N,M2_1,M2_2,M1_1,M1_11,cpi,cpi8,vM2_1,vM2_11,vM1_1,vM1_11,inflation,inflation8,vM2_1y2y,vM2_11y2y,vM1_1y2y,vM1_11y2y,M2_1y2y,M2_11y2y,M1_1y2y,M1_11y2y,Y_Ny2y,GBond1t3y,GBond3t5y,GBond5t10y,GBond10y,GBond1t3yy2y,GBond3t5yy2y,GBond5t10yy2y,GBond10yy2y
10/1/1998,953512,631425.6667,908858,200558,255348,91.5,93.63333333,1.5101,1.0491,4.7543,3.7342,1.1050,1.2982,2.977058487,-0.023546636,-0.022666969,0.004798374,0.214949207,5.686979671,5.591854141,2.705587078,3.198406857,3.350415771,3.36834767,3.450422939,3.621727599,-1.49698832,-7.250729346,-10.40456564,-12.27569993
1/1/1999,975204,639031.6667,923968.6667,202353.6667,257356,91.7,93.93333333,1.5261,1.0555,4.8193,3.7893,0.7692,1.0760,2.364574074,-0.013659567,0.002169659,0.023112933,1.940766682,5.7963641,4.125315175,1.993854495,4.351231622,3.574316436,3.604258833,3.63375192,3.737692012,-0.494453039,-2.304494279,-4.370020688,-6.286979186
4/1/1999,994180,647477.6667,936153.3333,206158.3333,262085,92.7,94.36666667,1.5355,1.0620,4.8224,3.7934,1.6113,1.3605,2.242350619,0.003887631,0.009679623,0.025830715,3.984079314,5.904051109,5.296536225,3.638705119,6.31576696,3.550387097,3.668225806,3.738064516,3.868519713,-2.084233272,-0.189491095,0.206674103,0.177370462
7/1/1999,1021220,655207.6667,948403,209351.3333,266101,93.33,94.8,1.5586,1.0768,4.8780,3.8377,2.1899,1.6804,3.670543537,0.027149689,0.029225386,0.038027545,4.908648991,5.884631816,5.671088319,4.775029465,8.759366626,3.800146953,3.895415771,3.936820789,4.023272401,2.491920929,4.395114618,5.002260893,5.383561001
10/1/1999,1041052,664342.3333,961735.3333,212512,269804,93.67,95.03333333,1.5670,1.0825,4.8988,3.8586,2.3716,1.4952,3.771134251,0.03177909,0.030392743,0.033310572,5.213070739,5.817997238,5.960370566,5.661163066,9.180796886,4.016010753,4.15744086,4.182899642,4.241232975,19.86604134,23.42671444,21.22860633,17.10524493
1/1/2000,1070156,675059.6667,979283.3333,217949,275744,94.13,95.13333333,1.5853,1.0928,4.9101,3.8810,2.6499,1.2775,3.879974887,0.03538173,0.018844286,0.024188467,5.637905268,5.986638797,7.706968492,7.144957251,9.736629464,4.272588061,4.452354468,4.450177976,4.338342603,19.53580879,23.53037545,22.46785343,16.07009322
4/1/2000,1099436,687418.3333,1000030.667,227222,285742,94.97,95.4,1.5994,1.0994,4.8386,3.8477,2.4488,1.0950,4.161832973,0.035234177,0.003356914,0.014314104,6.168655495,6.823383634,10.21722786,9.026599547,10.58721761,4.305663082,4.338168459,4.291598566,4.192562724,21.27306023,18.26339728,14.80803897,8.376408414
7/1/2000,1121692,695910,1016194,231552.6667,290210,95.87,95.86666667,1.6118,1.1038,4.8442,3.8651,2.7215,1.1252,3.414206547,0.025110315,-0.006929102,0.007136857,6.212127147,7.147910751,10.6048206,9.060082375,9.838428546,3.972953405,3.994,3.953609319,3.905666667,4.547362345,2.530775537,0.426448939,-2.923136269
10/1/2000,1132952,702991.6667,1032563.333,236870.6667,295687,96.53,96.43333333,1.6116,1.0972,4.7830,3.8316,3.0533,1.4732,2.844444848,0.01362651,-0.023637111,-0.006987526,5.817683353,7.364604122,11.46225468,9.593395691,8.827608996,3.771892473,3.776598566,3.764666667,3.797892473,-6.078626144,-9.16049817,-9.998637566,-10.45310419
1/1/2001,1149892,715298,1058842.667,242141.3333,302127,96.73,96.83333333,1.6076,1.0860,4.7488,3.8060,2.7621,1.7870,1.406340787,-0.006227689,-0.032845375,-0.019320675,5.960707671,8.124240516,11.0999974,9.567800124,7.450876321,3.476332565,3.634907834,3.77531106,4.031186636,-18.63637412,-18.35987318,-15.16494215,-7.080030211
