Date,Durable goods,Semi-durable goods,Non-durable goods,Services,Gross domestic product at market prices,Durables Consumption,Nondurables Consumption,Durables_Y2Y,Nondurables_Y2Y,GDP_Y2Y
7/1/2011,117678,69588,251254,542996,1805188,187266,794250,1.375009473,2.109032005,3.489319352
10/1/2011,120724,70759,250592,545580,1819505,191483,796172,2.231678083,1.567319738,3.145723333
1/1/2012,123226,71412,249132,549652,1820390,194638,798784,5.115409956,1.393232869,2.438412252
4/1/2012,120884,70868,250838,552008,1826526,191752,802846,2.795140936,1.510302807,2.58581084
7/1/2012,120710,71903,252183,555799,1829043,192613,807982,2.855296744,1.72892666,1.32146901
10/1/2012,121224,72153,254000,558736,1832849,193377,812736,0.98912175,2.080454977,0.733386278
1/1/2013,123803,72818,254214,561608,1849151,196621,815822,1.018814414,2.132992148,1.579936168
4/1/2013,127398,72896,255401,566029,1860009,200294,821430,4.454712337,2.314765223,1.833152115
7/1/2013,127956,74642,258253,568526,1875114,202598,826779,5.183969929,2.326413212,2.518858223
10/1/2013,127904,75915,261195,570886,1894842,203819,832081,5.399814869,2.380231711,3.382329914
1/1/2014,128929,74887,261286,574128,1897566,203816,835414,3.659324284,2.40150425,2.618228582
4/1/2014,133000,76249,260991,579161,1915253,209249,840152,4.470927736,2.279196036,2.970093155
7/1/2014,135684,77115,261295,582907,1933574,212799,844202,5.035094127,2.107334608,3.117677112
10/1/2014,135875,77666,263689,586856,1947258,213541,850545,4.769918408,2.219014735,2.766246473
1/1/2015,133366,77858,265882,589245,1936775,211224,855127,3.634650862,2.35966838,2.066278591
4/1/2015,135328,78954,264634,592367,1931657,214282,857001,2.405268364,2.005470439,0.856492589
7/1/2015,139200,79475,266257,594666,1938486,218675,860923,2.761291171,1.980687087,0.254037342
10/1/2015,141962,80780,266129,597810,1939812,222742,863939,4.308774427,1.57475501,-0.382383844
1/1/2016,142758,81086,267408,598344,1951370,223844,865752,5.974699845,1.242505499,0.753572304
4/1/2016,141432,80010,269516,602646,1942547,221442,872162,3.341391251,1.769076115,0.563764685
7/1/2016,141613,80113,270812,609423,1963609,221726,880235,1.395221219,2.243173896,1.296011423
10/1/2016,144749,81083,272072,612886,1974968,225832,884958,1.38725521,2.432926399,1.812340577
1/1/2017,149456,81865,273512,617551,1994876,231321,891063,3.34027269,2.923585507,2.229510549
4/1/2017,153003,83144,277340,621853,2016402,236147,899193,6.640565024,3.099309532,3.801967211
7/1/2017,153562,83663,277612,630214,2022980,237225,907826,6.990159025,3.134503854,3.023565282
10/1/2017,155142,83487,280196,633024,2031532,238629,913220,5.666601722,3.193597888,2.864046405
1/1/2018,155096,83610,280111,636608,2039035,238706,916719,3.192533319,2.879257696,2.213621298
4/1/2018,154376,83982,281211,641162,2051832,238358,922373,0.936281215,2.577867043,1.757090104
7/1/2018,154152,84629,282579,643266,2062557,238781,925845,0.655917378,1.984851723,1.956371294
10/1/2018,153405,84609,282917,646424,2063887,238014,929341,-0.257722238,1.765292044,1.592640431
1/1/2019,155389,85327,285148,649891,2066571,240716,935039,0.842039999,1.998431362,1.350442734
4/1/2019,154890,85615,284808,651998,2085470,240505,936806,0.900745937,1.564768266,1.639412973
